,AC(mk),AC(mk_all),AC(test),size,F1(mk),F1(mk_all),F1(test),faverage,importance_uniformity,feature_importance,mean radius,mean texture,mean perimeter,mean area,mean smoothness,mean compactness,mean concavity,mean concave points,mean symmetry,mean fractal dimension,radius error,texture error,perimeter error,area error,smoothness error,compactness error,concavity error,concave points error,symmetry error,fractal dimension error,worst radius,worst texture,worst perimeter,worst area,worst smoothness,worst compactness,worst concavity,worst concave points,worst symmetry,worst fractal dimension
277,0.995,0.995,0.942,27,0.996,0.996,0.954,4.071428571428571,0.465,,0.0,0.015004800862762737,0.0,0.0,0.0,0.010292237777724028,0.021356322712424096,0.0,0.0,0.0,0.015837307673419312,0.0,0.0,0.0,0.00319068114590024,0.00885369733905088,0.0,0.0,0.0,0.0,0.0,0.04255889279048819,0.023542015146748446,0.7196975609592808,0.014622369656365491,0.0,0.008153693957978344,0.11689041997785732,0.0,0.0
278,1.0,1.0,0.924,31,1.0,1.0,0.94,4.4375,0.486,,0.0,0.019639934533551003,0.0,0.0,0.0,0.0,0.0,0.046164482829180224,0.0,0.0028684434813890337,0.013022479662978923,0.0,0.0,0.0,0.0,0.010544815465729485,0.006172839506172922,0.007591442374051127,0.0,0.007888461973391658,0.0372582413214336,0.023927182267782957,0.7084842704003254,0.0,0.07820111881282467,0.0,0.023230835409481895,0.015005451961707161,0.0,0.0
279,0.997,0.997,0.912,33,0.998,0.998,0.928,4.176470588235294,0.456,,0.0,0.018290115007993955,0.0,0.10559559157460406,0.0,0.0,0.0,0.0,0.007688509298386387,0.0,0.0,0.0,0.03389895739768324,0.006989364100476242,0.0,0.0,0.0,0.010679645285216708,0.0,0.021059140432790967,0.016171053701441115,0.014181322959651719,0.0,0.0,0.021780726516735686,0.0,0.01591371726593442,0.7277518564590855,0.0,0.0
280,1.0,1.0,0.942,27,1.0,1.0,0.954,4.142857142857143,0.507,,0.015075376884422296,0.03625553302376547,0.0,0.010050251256281374,0.0,0.0,0.0,0.0820211910359098,0.0,0.0,0.013410078990876468,0.0,0.0,0.0,0.007552870090634499,0.0,0.0,0.0,0.0,0.007962881685372326,0.04249415280457463,0.0,0.6914636267184531,0.01617144690628814,0.0,0.0,0.015295838311207666,0.06224675229221436,0.0,0.0
281,0.962,0.962,0.936,15,0.969,0.969,0.946,3.0,0.385,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05338287049682421,0.0,0.0,0.01770755290753601,0.0,0.0,0.0,0.0,0.0,0.0,0.039317012864005026,0.0,0.0,0.0,0.035171542321232145,0.7764384123738002,0.0,0.0,0.0,0.0,0.07798260903660238,0.0,0.0
282,1.0,1.0,0.942,39,1.0,1.0,0.953,4.75,0.426,,0.0,0.002922210115761567,0.0,0.0,0.0,0.0,0.0,0.7532951268115752,0.009501187648456175,0.0,0.015311198495111056,0.013363028953229581,0.0,0.04036256863063222,0.005025125628140689,0.019759999437937634,0.0,0.0,0.0,0.014909556119186516,0.023897626721809832,0.035436692788411966,0.04727001999667032,0.0,0.0031237465966780977,0.007996990867674756,0.007824921188724429,0.0,0.0,0.0
283,1.0,1.0,0.936,35,1.0,1.0,0.948,4.277777777777778,0.512,,0.0,0.038236760454311444,0.0,0.0,0.0,0.008645533141210443,0.0,0.032258064516129475,0.0,0.0,0.013026668386120158,0.0,0.0,0.0,0.0,0.0,0.0,3.6007233231086616e-17,0.0,0.0,0.0,0.022693503192471803,0.6814392313220359,0.01478544358154186,0.04614620088587732,0.0,0.008902438466207726,0.13386615605409385,0.0,0.0
284,0.975,0.975,0.942,15,0.98,0.98,0.955,3.0,0.39,,0.0,0.060366030937303444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0032296121689632446,0.0,0.008428940768462173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7647847006095619,0.0,0.0,0.01730612963948658,0.14588458587622258,0.0,0.0
285,1.0,1.0,0.942,37,1.0,1.0,0.951,4.842105263157895,0.526,,0.0,0.03326698454842216,3.99680288865061e-18,0.0,0.0,0.01271186440677971,0.019143117593436874,0.044801880793087695,0.0,0.0,0.0,0.0,0.0,0.03877264081940144,0.0,0.0,0.0,0.0,0.013202163256531766,0.007681971262554182,0.0,0.013408653547706251,0.6789166940937756,0.0,0.049388694337761135,0.0,0.0686086629829044,0.007750993345292742,0.0,0.0123456790123458
286,1.0,1.0,0.942,31,1.0,1.0,0.954,4.375,0.429,,0.013026668386120153,0.02623100138430344,0.0,0.0,0.0,0.0,0.0,0.042022560413842655,0.0,0.0,0.0009945292222075612,0.015428689775192324,0.0,0.0,0.0,0.0,0.0,0.01444517399868696,0.0,0.0,0.033352242418838086,0.012936610608020361,0.7503675227969497,0.0,0.0,0.014294648440990088,0.027387266270161758,0.049513086284686945,0.0,0.0
